PostOfficeName,Pincode,City,District,State
Loharu,123201,Loharu,Bhiwani,Haryana
Guriani,123301,Bhiwani,Bhiwani,Haryana
Kosli,123302,Rewari,Rewari,Haryana
Kuldip Nagar,123302,Rewari,Rewari,Haryana
Nahar,123303,Rewari,Rewari,Haryana
Sahalwas,123304,Rewari,Rewari,Haryana
Bahu,123305,Rewari,Rewari,Haryana
Charkhi Dadri,123306,Charkhi Dadri,Bhiwani,Haryana
Charkhi Dadri City,123306,Bhiwani,Bhiwani,Haryana
Charkhi Dadri Factory,123306,Bhiwani,Bhiwani,Haryana
Achina,123307,Bhiwani,Bhiwani,Haryana
Badhra,123308,Bhiwani,Bhiwani,Haryana
Manheru,123309,Bhiwani,Bhiwani,Haryana
Jhoju Kalan,123310,Bhiwani,Bhiwani,Haryana
Gokal Bazar Rewari,123401,Narnaul,Mohindergarh,Haryana
Model Town Rewari,123401,Narnaul,Mohindergarh,Haryana
Rewari,123401,Rewari,Mohindergarh,Haryana
Dahina,123411,Rewari,Rewari,Haryana
Dharan,123412,Narnaul,Mohindergarh,Haryana
Akheri Madanpur,123413,Narnaul,Mohindergarh,Haryana
Bahore Kalan,123413,Narnaul,Mohindergarh,Haryana
Nanu Kalan,123414,Narnaul,Mohindergarh,Haryana
Bawal,123501,Bawal,Mohindergarh,Haryana
Khalilpur,123502,Narnaul,Mohindergarh,Haryana
Pataudi,123503,Pataudi,Mohindergarh,Haryana
Haily Mandi,123504,Narnaul,Mohindergarh,Haryana
Garhi Harsaru,123505,Narnaul,Mohindergarh,Haryana
Farrukh Nagar,123506,Narnaul,Mohindergarh,Haryana
Daulatabad,123507,Gurgaon,Gurgaon,Haryana
Jatauli,123508,Gurgaon,Gurgaon,Haryana
Bus Stand Rohtak,124001,Rohtak,Rohtak,Haryana
D L F Colony Rohtak,124001,Rohtak,Rohtak,Haryana
Durga Bhawan Rohtk,124001,Rohtak,Rohtak,Haryana
Gandhi Camp Rohtak,124001,Rohtak,Rohtak,Haryana
Kanak Mandi Rohtak,124001,Rohtak,Rohtak,Haryana
Medical College,124001,Rohtak,Rohtak,Haryana
Model Town Rohtak,124001,Rohtak,Rohtak,Haryana
Rohtak,124001,Rohtak,Rohtak,Haryana
Rohtak,124001,Rohtak,Rohtak,Haryana
Rohtak Mandi,124001,Rohtak,Rohtak,Haryana
Rohtak Town,124001,Rohtak,Rohtak,Haryana
Shivaji Colony Rohtak,124001,Rohtak,Rohtak,Haryana
Sugar Mill Rohtak,124001,Rohtak,Rohtak,Haryana
Bhagwatipur,124002,Rohtak,Rohtak,Haryana
Vaish High Schl Rohtak,124003,Rohtak,Rohtak,Haryana
G K Singhpur,124004,Rohtak,Rohtak,Haryana
Titauli,124005,Rohtak,Rohtak,Haryana
Makrauli Kalan,124006,Rohtak,Rohtak,Haryana
Samargopalpur,124007,Rohtak,Rohtak,Haryana
Sunari Kalan,124008,Rohtak,Rohtak,Haryana
Asthal Bohar,124021,Rohtak,Rohtak,Haryana
Morkhra,124022,Rohtak,Rohtak,Haryana
Bohar,124023,Rohtak,Rohtak,Haryana
Lahli,124024,Rohtak,Rohtak,Haryana
Kharawal,124025,Rohtak,Rohtak,Haryana
Kharontha,124026,Rohtak,Rohtak,Haryana
Kheri Sadh,124027,Rohtak,Rohtak,Haryana
Basana,124028,Rohtak,Rohtak,Haryana
Baland,124029,Rohtak,Rohtak,Haryana
Gharauthi,124030,Rohtak,Rohtak,Haryana
Maina,124031,Rohtak,Rohtak,Haryana
Barhana,124101,Rohtak,Rohtak,Haryana
Dujana,124102,Rohtak,Rohtak,Haryana
Arya Nagar Jhajar,124103,Jhajjar,Jhajjar,Haryana
Arya Nagar Jhajjar,124103,Rohtak,Rohtak,Haryana
Jhajar,124103,Rohtak,Rohtak,Haryana
Jhajar HO,124103,Jhajjar,Jhajjar,Haryana
Silani Gate Jhajar,124103,Jhajjar,Jhajjar,Haryana
Silani Gate Jhajjar,124103,Rohtak,Rohtak,Haryana
Jhajjar,124104,Jhajjar,Rohtak,Haryana
Jhajjar,124104,Jhajjar,Jhajjar,Haryana
Nehru College,124104,Rohtak,Rohtak,Haryana
Nehru College,124104,Jhajjar,Jhajjar,Haryana
Badli,124105,Rohtak,Rohtak,Haryana
Dighal,124107,Rohtak,Rohtak,Haryana
Machhrauli,124108,Rohtak,Rohtak,Haryana
Dhakala,124109,Rohtak,Rohtak,Haryana
Bahu Akbarpur,124110,Rohtak,Rohtak,Haryana
Madina,124111,Rohtak,Rohtak,Haryana
Meham,124112,Rohtak,Rohtak,Haryana
Kalanaur,124113,Kalanaur,Rohtak,Haryana
Kharak Kalan,124114,Rohtak,Rohtak,Haryana
Subana,124116,Rohtak,Rohtak,Haryana
Birohar,124117,Rohtak,Rohtak,Haryana
Gochhi,124118,Rohtak,Rohtak,Haryana
Kultana,124119,Rohtak,Rohtak,Haryana
Bahlba,124120,Rohtak,Rohtak,Haryana
Kharkhera,124121,Rohtak,Rohtak,Haryana
Birdhana,124122,Rohtak,Rohtak,Haryana
Bhani Chanderpal,124123,Rohtak,Rohtak,Haryana
Katesra,124124,Rohtak,Rohtak,Haryana
Jhalri,124125,Rohtak,Rohtak,Haryana
Kalinga,124126,Rohtak,Rohtak,Haryana
Sisar Khas,124127,Rohtak,Rohtak,Haryana
Bhani Surjan,124128,Rohtak,Rohtak,Haryana
Saman,124129,Rohtak,Rohtak,Haryana
Sawan,124129,Rohtak,Rohtak,Haryana
Talao,124130,Rohtak,Rohtak,Haryana
Jhazgarh,124131,Rohtak,Rohtak,Haryana
Ritauli,124132,Rohtak,Rohtak,Haryana
M P Majra,124133,Rohtak,Rohtak,Haryana
Kheri Kumar,124134,Rohtak,Rohtak,Haryana
Daura Raja,124135,Rohtak,Rohtak,Haryana
Chimni,124136,Rohtak,Rohtak,Haryana
Bhadani,124137,Rohtak,Rohtak,Haryana
Jahangirpur,124138,Rohtak,Rohtak,Haryana
Mehrana,124139,Rohtak,Rohtak,Haryana
Silana,124140,Rohtak,Rohtak,Haryana
Khudan,124141,Rohtak,Rohtak,Haryana
Beri,124201,Beri,Rohtak,Haryana
Beri,124201,Jhajjar,Jhajjar,Haryana
Dobaldhan,124202,Rohtak,Rohtak,Haryana
Majra,124203,Rohtak,Rohtak,Haryana
Sewana,124204,Rohtak,Rohtak,Haryana
Pilana,124205,Rohtak,Rohtak,Haryana
Gohana,124301,Gohana,Sonepat,Haryana
Butana,124302,Sonepat,Sonepat,Haryana
Sanghi,124303,Rohtak,Rohtak,Haryana
Baroda,124304,Sonepat,Sonepat,Haryana
Khanpur,124305,Sonepat,Sonepat,Haryana
Mundlana,124306,Sonepat,Sonepat,Haryana
Mehmoodpur,124307,Rohtak,Rohtak,Haryana
Ahulana,124308,Rohtak,Rohtak,Haryana
Madiana,124309,Rohtak,Rohtak,Haryana
Bichpari,124310,Sonepat,Sonepat,Haryana
Barota,124311,Rohtak,Rohtak,Haryana
Khidwali,124312,Rohtak,Rohtak,Haryana
Jassia,124314,Rohtak,Rohtak,Haryana
Gangana,124315,Rohtak,Rohtak,Haryana
Garhwal,124316,Rohtak,Rohtak,Haryana
Glwana,124317,Rohtak,Rohtak,Haryana
Jauli,124318,Rohtak,Rohtak,Haryana
Kathura,124320,Rohtak,Rohtak,Haryana
Lath,124321,Rohtak,Rohtak,Haryana
Katwal,124322,Rohtak,Rohtak,Haryana
Kohla,124323,Rohtak,Rohtak,Haryana
Rabhra,124324,Rohtak,Rohtak,Haryana
Bindhana,124325,Rohtak,Rohtak,Haryana
Bhalaut,124401,Rohtak,Rohtak,Haryana
Kharkauda,124402,Sonepat,Sonepat,Haryana
Rohat,124403,Sonepat,Sonepat,Haryana
Hassangarh,124404,Rohtak,Rohtak,Haryana
Kiloi,124405,Rohtak,Rohtak,Haryana
Kansala,124406,Rohtak,Rohtak,Haryana
Sisana,124407,Rohtak,Rohtak,Haryana
Farmana,124408,Sonepat,Sonepat,Haryana
Bhainswal Kalan,124409,Sonepat,Sonepat,Haryana
Bidhal Pinana,124410,Rohtak,Rohtak,Haryana
Aval,124411,Rohtak,Rohtak,Haryana
Kahnaur,124412,Rohtak,Rohtak,Haryana
Anaj Mandi Jind,124413,Rohtak,Rohtak,Haryana
Anwali,124413,Rohtak,Rohtak,Haryana
Khanda,124413,Rohtak,Rohtak,Haryana
Bhadlan,124415,Sonepat,Sonepat,Haryana
Baliana,124416,Rohtak,Rohtak,Haryana
Paksma,124417,Rohtak,Rohtak,Haryana
Dobh,124418,Rohtak,Rohtak,Haryana
Kiloi,124419,Rohtak,Rohtak,Haryana
Bhanyani,124420,Rohtak,Rohtak,Haryana
Asan,124421,Rohtak,Rohtak,Haryana
Bholi Anandpur,124422,Rohtak,Rohtak,Haryana
Hamayunpur,124423,Rohtak,Rohtak,Haryana
Dhamar,124424,Rohtak,Rohtak,Haryana
Samchana,124425,Rohtak,Rohtak,Haryana
Rurki,124426,Rohtak,Rohtak,Haryana
Chirana,124427,Rohtak,Rohtak,Haryana
Rukhi,124428,Rohtak,Rohtak,Haryana
Rithal,124429,Sonepat,Sonepat,Haryana
Siwana Mall,124430,Sonepat,Sonepat,Haryana
Sampla,124501,Rohtak,Rohtak,Haryana
Rohad,124502,Rohtak,Rohtak,Haryana
Bhaprauda,124503,Rohtak,Rohtak,Haryana
Chhara,124504,Rohtak,Rohtak,Haryana
Assandah,124505,Rohtak,Rohtak,Haryana
Mandothi,124506,Rohtak,Rohtak,Haryana
Bahadurgar,124507,Rohtak,Rohtak,Haryana
Bahadurgarh,124507,Bahadurgarh,Rohtak,Haryana
Bahadurgarh,124507,Bahadurgarh,Jhajjar,Haryana
Bahadurgarh HO,124507,Jhajjar,Jhajjar,Haryana
Bahadurgarh Mandi,124507,Rohtak,Rohtak,Haryana
Bahadurgarh Mandi,124507,Jhajjar,Jhajjar,Haryana
Bahadurgrh,124507,Rohtak,Rohtak,Haryana
Industrial Area,124507,Rohtak,Rohtak,Haryana
Industrial Area,124507,Jhajjar,Jhajjar,Haryana
Main Bazar,124507,Rohtak,Rohtak,Haryana
Main Bazar,124507,Jhajjar,Jhajjar,Haryana
Noona Majra,124508,Rohtak,Rohtak,Haryana
Tandaheri,124509,Rohtak,Rohtak,Haryana
Matan,124510,Rohtak,Rohtak,Haryana
Kharhar,124511,Rohtak,Rohtak,Haryana
Nidana,124513,Rohtak,Rohtak,Haryana
Lakhan Majra,124514,Rohtak,Rohtak,Haryana
Nigana,124515,Rohtak,Rohtak,Haryana
Rohad,124515,Rohtak,Rohtak,Haryana
Gorawar,124516,Rohtak,Rohtak,Haryana
Ismaila,124517,Rohtak,Rohtak,Haryana
Barain,124518,Rohtak,Rohtak,Haryana
Bainsi,124519,Rohtak,Rohtak,Haryana
Farmana,124520,Rohtak,Rohtak,Haryana
Atail,124521,Rohtak,Rohtak,Haryana
Ajaib,124522,Rohtak,Rohtak,Haryana
Chandi,124523,Rohtak,Rohtak,Haryana
Chiri,124524,Rohtak,Rohtak,Haryana
Barahi,124525,Rohtak,Rohtak,Haryana
Bhupani,124526,Rohtak,Rohtak,Haryana
Chaushala,124527,Rohtak,Rohtak,Haryana
Chuliana,124527,Rohtak,Rohtak,Haryana
Dulhera,124528,Rohtak,Rohtak,Haryana
Escort Nagar,124528,Rohtak,Rohtak,Haryana
Gandhra,124529,Sonepat,Sonepat,Haryana
Kanaunda,124530,Rohtak,Rohtak,Haryana
Nilauthi,124531,Rohtak,Rohtak,Haryana
Rohna,124532,Sonepat,Sonepat,Haryana
Kharainti,124533,Rohtak,Rohtak,Haryana
Hissar,125001,Hissar,Hissar,Haryana
Hissar City,125001,Hissar,Hissar,Haryana
Hissar Kutchery,125001,Hissar,Hissar,Haryana
Hissar Nai Mandi,125001,Hissar,Hissar,Haryana
Mini Sectt Hissar,125001,Hissar,Hissar,Haryana
Multani Chowk Hissar,125001,Hissar,Hissar,Haryana
Hissar Textile Mills,125002,Hissar,Hissar,Haryana
Patel Nagar Hissar,125003,Hissar,Hissar,Haryana
Hissar Agricultural Unive,125004,Hissar,Hissar,Haryana
Model Town Hissar,125005,Hissar,Hissar,Haryana
Hissar B S F,125011,Hissar,Hissar,Haryana
Arya Nagar Hissar,125012,Hissar,Hissar,Haryana
Dulat,125012,Hissar,Hissar,Haryana
Bhiwan Jain Chowk,125021,Bhiwani,Bhiwani,Haryana
Bhiwani,125021,Bhiwani,Bhiwani,Haryana
Bhiwani Bus Stand,125021,Bhiwani,Bhiwani,Haryana
Bhiwani Halu Bazar,125021,Bhiwani,Bhiwani,Haryana
Bhiwani Lohar Bazar,125021,Bhiwani,Bhiwani,Haryana
Bhiwani,125022,Bhiwani,Bhiwani,Haryana
Biron,125023,Bhiwani,Bhiwani,Haryana
Dinod,125024,Bhiwani,Bhiwani,Haryana
Devsar,125025,Bhiwani,Bhiwani,Haryana
Bapora,125026,Bhiwani,Bhiwani,Haryana
Chang,125027,Bhiwani,Bhiwani,Haryana
Behal,125028,Bhiwani,Bhiwani,Haryana
Kairu,125029,Bhiwani,Bhiwani,Haryana
Jui Khurd,125030,Bhiwani,Bhiwani,Haryana
Tigrana,125031,Bhiwani,Bhiwani,Haryana
Bawani Khera,125032,Bawani Khera,Bhiwani,Haryana
Hansi,125033,Hansi,Hissar,Haryana
Tehsil Court Hansi,125033,Hissar,Hissar,Haryana
Road Hansi,125034,Hissar,Hissar,Haryana
Jamalpur,125035,Hissar,Hissar,Haryana
Deorala,125036,Bhiwani,Bhiwani,Haryana
Nalwa,125037,Bhiwani,Bhiwani,Haryana
Khanda Khuri,125038,Hissar,Hissar,Haryana
Narnaund,125039,Narnaund,Hissar,Haryana
Tosham,125040,Tosham,Bhiwani,Haryana
Mundal Khurd,125041,Bhiwani,Bhiwani,Haryana
Bass,125042,Hissar,Hissar,Haryana
Rodhan,125043,Bhiwani,Bhiwani,Haryana
Satrod Khurd,125044,Hissar,Hissar,Haryana
Barwa,125045,Bhiwani,Bhiwani,Haryana
Sewani,125046,Bhiwani,Bhiwani,Haryana
Agroha,125047,Hissar,Hissar,Haryana
Badopal,125048,Hissar,Hissar,Haryana
Sisai,125049,Hissar,Hissar,Haryana
Fatehabad,125050,Fatehabad,Sirsa,Haryana
Fatehbad,125050,Fatehbad,Fatehabad,Haryana
Fatehbad Kutchery,125050,Sirsa,Sirsa,Haryana
Fatehbad Kutchery,125050,Fatehbad,Fatehabad,Haryana
Nai Mandi Fatehbad,125050,Sirsa,Sirsa,Haryana
Rattia,125051,Sirsa,Sirsa,Haryana
Mandi Adampur,125052,Sirsa,Sirsa,Haryana
Bhattu Kalan,125053,Sirsa,Sirsa,Haryana
Bahudin,125054,Sirsa,Sirsa,Haryana
Nai Mandi Sirsa,125055,Sirsa,Sirsa,Haryana
Sirsa,125055,Sirsa,Sirsa,Haryana
Sirsa Courts,125055,Sirsa,Sirsa,Haryana
Sirsa Town,125055,Sirsa,Sirsa,Haryana
Sirsa,125056,Sirsa,Sirsa,Haryana
Khairpur,125057,Sirsa,Sirsa,Haryana
Ding,125058,Sirsa,Sirsa,Haryana
Sikanderpur,125060,Sirsa,Sirsa,Haryana
Bamla,125061,Bhiwani,Bhiwani,Haryana
Bhanana,125062,Sirsa,Sirsa,Haryana
Dhanana,125062,Sirsa,Sirsa,Haryana
Dhani,125063,Bhiwani,Bhiwani,Haryana
Dhigwan Jatan,125064,Bhiwani,Bhiwani,Haryana
Lohni,125065,Bhiwani,Bhiwani,Haryana
Mehnda,125066,Bhiwani,Bhiwani,Haryana
Rewasa,125067,Bhiwani,Bhiwani,Haryana
Sorkhi,125068,Hissar,Hissar,Haryana
Bassi,125069,Hissar,Hissar,Haryana
Bhatla,125070,Hissar,Hissar,Haryana
Dhana Kalan,125071,Bhiwani,Bhiwani,Haryana
Kumbha,125072,Bhiwani,Bhiwani,Haryana
Mirchpur,125073,Hissar,Hissar,Haryana
Petwar,125074,Bhiwani,Bhiwani,Haryana
Sri Jiwan Nagar,125075,Sirsa,Sirsa,Haryana
Rania,125076,Rania,Sirsa,Haryana
Odban,125077,Sirsa,Sirsa,Haryana
Baragudah,125078,Sirsa,Sirsa,Haryana
Haroli,125079,Hissar,Hissar,Haryana
Bighar,125080,Hissar,Hissar,Haryana
Chanot,125081,Hissar,Hissar,Haryana
Puthi Mangal Khan,125082,Hissar,Hissar,Haryana
Umra,125083,Hissar,Hissar,Haryana
Jamauri,125084,Hissar,Hissar,Haryana
Kharar Ailapur,125086,Hissar,Hissar,Haryana
Ladwa,125087,Ladwa,Hissar,Haryana
Mohamadpur Rohi,125088,Hissar,Hissar,Haryana
Chautala,125101,Sirsa,Sirsa,Haryana
Ellenabad,125102,Ellenabad,Sirsa,Haryana
Goriwala,125103,Sirsa,Sirsa,Haryana
Mandi Dabwali,125104,Mandi Dabwali,Sirsa,Haryana
Mandi Township,125104,Sirsa,Sirsa,Haryana
Mangali,125105,Hissar,Hissar,Haryana
Dharsul Kalan,125106,Sirsa,Sirsa,Haryana
Abushahar,125107,Hissar,Hissar,Haryana
Hazarawan Kalan,125108,Hissar,Hissar,Haryana
Mohbatpur,125109,Hissar,Hissar,Haryana
Safidon,125112,Safidon,Hissar,Haryana
Safindon City,125112,Hissar,Hissar,Haryana
Kalanwali,125201,Hissar,Hissar,Haryana
Rori,125202,Sirsa,Sirsa,Haryana
Amritsar Khan,125203,Sirsa,Sirsa,Haryana
Anaj Mandi,125203,Sirsa,Sirsa,Haryana
Jakhal Mandi,126001,Jakhal Mandi,Hissar,Haryana
Daulatpur,126006,Hissar,Hissar,Haryana
Pabra,126007,Hissar,Hissar,Haryana
Bhuna,126008,Hissar,Hissar,Haryana
Uklana Mandi,126009,Hissar,Hissar,Haryana
Barwala,126010,Barwala,Hissar,Haryana
Barwala Mandi,126011,Hissar,Hissar,Haryana
Khedar,126013,Hissar,Hissar,Haryana
Rajli,126014,Hissar,Hissar,Haryana
Prabhuwala,126015,Hissar,Hissar,Haryana
Nehla,126025,Hissar,Hissar,Haryana
Hassangarh,126027,Hissar,Hissar,Haryana
Julana,126101,Julana,Jind,Haryana
Chaura Kuam Jind,126102,Jind,Jind,Haryana
Jind Ho,126102,Jind,Jind,Haryana
Jind Railway Station,126102,Jind,Jind,Haryana
Punjabi Bazar Jind,126102,Jind,Jind,Haryana
Rohtak Road Jind,126102,Jind,Jind,Haryana
Bibipur,126103,Jind,Jind,Haryana
Deorad,126104,Jind,Jind,Haryana
Igrah,126105,Jind,Jind,Haryana
Kandela,126106,Jind,Jind,Haryana
Kilazafargarh,126107,Jind,Jind,Haryana
Malui,126108,Jind,Jind,Haryana
Pauli,126109,Jind,Jind,Haryana
Ram Rai,126110,Jind,Jind,Haryana
Shahpur,126111,Jind,Jind,Haryana
Pilukhera,126113,Jind,Jind,Haryana
Shamlo Kalan,126114,Jind,Jind,Haryana
Uchana,126115,Uchana,Jind,Haryana
Nangal Fertilizer,126116,Jind,Jind,Haryana
Narwana,126116,Narwana,Jind,Haryana
Kalayar,126117,Jind,Jind,Haryana
Dhamta Sahib,126118,Jind,Jind,Haryana
Tohana,126119,Tohana,Jind,Haryana
Tohanamandi,126120,Hissar,Hissar,Haryana
Kalwa,126121,Jind,Jind,Haryana
Kanheri,126122,Jind,Jind,Haryana
Samain,126123,Jind,Jind,Haryana
Baroda Jind,126124,Jind,Jind,Haryana
Balerkha,126126,Jind,Jind,Haryana
Dablain,126127,Jind,Jind,Haryana
Dhakal,126128,Jind,Jind,Haryana
Didwara,126129,Jind,Jind,Haryana
Gangooli,126130,Jind,Jind,Haryana
Garhwali,126131,Jind,Jind,Haryana
Ghatauli,126132,Jind,Jind,Haryana
Kalayat Mandi,126133,Jind,Jind,Haryana
Kharak Pandwan,126134,Kaithal,Kaithal,Haryana
Lawan,126135,Jind,Jind,Haryana
Khatkar,126136,Jind,Jind,Haryana
Seemla,126139,Jind,Jind,Haryana
Ujhana,126140,Jind,Jind,Haryana
Hat,126141,Jind,Jind,Haryana
Dhigana,126143,Jind,Jind,Haryana
Balu,126145,Jind,Jind,Haryana
Bhambeva,126146,Jind,Jind,Haryana
Budha Khera,126147,Jind,Jind,Haryana
Bithmara,126148,Jind,Jind,Haryana
Singhana,126149,Jind,Jind,Haryana
Sewaha,126150,Jind,Jind,Haryana
Badanpur,126151,Jind,Jind,Haryana
Dhanoda Kalan,126152,Jind,Jind,Haryana
Danoda,126153,Jind,Jind,Haryana
Dharaudhi,126154,Jind,Jind,Haryana
Atlas Cycles Sonepat,131001,Sonepat,Sonepat,Haryana
Bhim Nagar Sonepat,131001,Sonepat,Sonepat,Haryana
Ganj Bazar Sonepat,131001,Sonepat,Sonepat,Haryana
Gohana Road Sonepat,131001,Sonepat,Sonepat,Haryana
Industrial Area Sonepat,131001,Sonepat,Sonepat,Haryana
Model Town,131001,Sonepat,Sonepat,Haryana
Ram Bazar Sonepat,131001,Sonepat,Sonepat,Haryana
Sonepat,131001,Sonepat,Sonepat,Haryana
Sonepat Kutchery,131001,Sonepat,Sonepat,Haryana
Bahalgarh,131021,Sonepat,Sonepat,Haryana
Bhatgaon,131022,Sonepat,Sonepat,Haryana
Jakhauli,131023,Sonepat,Sonepat,Haryana
Juan,131024,Sonepat,Sonepat,Haryana
Mohana,131025,Sonepat,Sonepat,Haryana
Jaswarkheri,131026,Sonepat,Sonepat,Haryana
Murthal,131027,Sonepat,Sonepat,Haryana
Kundli,131028,Sonepat,Sonepat,Haryana
P S Rai,131029,Sonepat,Sonepat,Haryana
Rathdana,131030,Sonepat,Sonepat,Haryana
Rattan Garh,131031,Sonepat,Sonepat,Haryana
Pipli Khera,131032,Sonepat,Sonepat,Haryana
Bhagan,131033,Sonepat,Sonepat,Haryana
Barabansi,131034,Sonepat,Sonepat,Haryana
Harsana Kalan,131035,Sonepat,Sonepat,Haryana
Lehrana,131036,Sonepat,Sonepat,Haryana
Khewra,131037,Sonepat,Sonepat,Haryana
Pipli,131038,Sonepat,Sonepat,Haryana
Ganaur,131101,Ganaur,Sonepat,Haryana
Ganaur City,131101,Sonepat,Sonepat,Haryana
Purkhas,131102,Sonepat,Sonepat,Haryana
Nahri,131103,Sonepat,Sonepat,Haryana
Akbarpur Barota,131104,Sonepat,Sonepat,Haryana
Bega,131105,Sonepat,Sonepat,Haryana
Bhidlan,131106,Sonepat,Sonepat,Haryana
Khanda,131107,Sonepat,Sonepat,Haryana
Chhetera Bhadupur,131108,Sonepat,Sonepat,Haryana
Datauli,131109,Sonepat,Sonepat,Haryana
Ghasauli,131110,Sonepat,Sonepat,Haryana
Kheri Gujar,131111,Sonepat,Sonepat,Haryana
Kakaroi,131112,Sonepat,Sonepat,Haryana
Gopalpur,131113,Sonepat,Sonepat,Haryana
Mehlana,131114,Sonepat,Sonepat,Haryana
Chulkana,131115,Sonepat,Sonepat,Haryana
Karnal,132001,Karnal,Karnal,Haryana
Karnal City,132001,Karnal,Karnal,Haryana
Karnal G B S,132001,Karnal,Karnal,Haryana
Karnal Industrial Area,132001,Karnal,Karnal,Haryana
Karnal Kutchery,132001,Karnal,Karnal,Haryana
Karnal M T,132001,Karnal,Karnal,Haryana
Karnal Nai Mandi,132001,Karnal,Karnal,Haryana
Karnal Ndri,132001,Karnal,Karnal,Haryana
Karnal Partappura,132001,Karnal,Karnal,Haryana
Karnal Ramnagar,132001,Karnal,Karnal,Haryana
Karnal Sadar Bazar,132001,Karnal,Karnal,Haryana
Sanghowa,132002,Karnal,Karnal,Haryana
Dhand,132020,Kaithal,Kaithal,Haryana
Kaul,132021,Kaithal,Kaithal,Haryana
Kaul,132021,Kurukshetra,Kurukshetra,Haryana
Pharal,132021,Kaithal,Kaithal,Haryana
Kunjpura,132022,Karnal,Karnal,Haryana
Nilokhery Govt Press,132024,Karnal,Karnal,Haryana
Nissing,132024,Karnal,Karnal,Haryana
Kachhawa,132025,Karnal,Karnal,Haryana
Fatehpur,132026,Kaithal,Kaithal,Haryana
Pundri,132026,Pundri,Kaithal,Haryana
Pundri,132026,Kurukshetra,Kurukshetra,Haryana
Kaithal,132027,Kaithal,Kaithal,Haryana
Kaithal,132027,Kurukshetra,Kurukshetra,Haryana
Kaithal Mandi,132027,Kurukshetra,Kurukshetra,Haryana
Siwan,132027,Kaithal,Kaithal,Haryana
Siwan Gate Kaithal,132027,Kurukshetra,Kurukshetra,Haryana
Thana,132029,Kaithal,Kaithal,Haryana
Thana,132029,Kaithal,Kaithal,Haryana
Keorak,132032,Kaithal,Kaithal,Haryana
Keorak,132032,Kaithal,Kaithal,Haryana
Chika,132034,Kurukshetra,Kurukshetra,Haryana
Guhla,132035,Kurukshetra,Kurukshetra,Haryana
Gula,132035,Kaithal,Kaithal,Haryana
Jundla,132036,Karnal,Karnal,Haryana
Madhuban,132037,Karnal,Karnal,Haryana
Amin,132038,Karnal,Karnal,Haryana
Assandh,132039,Assandh,Karnal,Haryana
Ballah,132040,Karnal,Karnal,Haryana
Indri Industrial Area,132041,Karnal,Karnal,Haryana
Fatehpur,132042,Kaithal,Kaithal,Haryana
Fatehpur,132042,Kurukshetra,Kurukshetra,Haryana
Pai,132043,Kaithal,Kaithal,Haryana
Pai,132043,Kurukshetra,Kurukshetra,Haryana
Rajaund,132044,Kurukshetra,Kurukshetra,Haryana
Mowana,132045,Jind,Jind,Haryana
Salwan,132046,Karnal,Karnal,Haryana
Jakoli,132047,Panipat,Panipat,Haryana
Pabnawa,132048,Panipat,Panipat,Haryana
Manas,132049,Panipat,Panipat,Haryana
Gheer,132050,Panipat,Panipat,Haryana
Munak,132051,Panipat,Panipat,Haryana
Gonder,132052,Panipat,Panipat,Haryana
Kheri Sherifali,132053,Panipat,Panipat,Haryana
Gondhar,132058,Panipat,Panipat,Haryana
Samalkha,132101,Samalkha,Panipat,Haryana
Patti Kalan,132102,Panipat,Panipat,Haryana
Panipat,132103,Panipat,Karnal,Haryana
Panipat Bus Stand,132103,Karnal,Karnal,Haryana
Panipat City,132103,Karnal,Karnal,Haryana
Panipat K Nagar,132103,Karnal,Karnal,Haryana
Panipat Khadi Ashram,132103,Karnal,Karnal,Haryana
Panipat Krishnapur,132103,Karnal,Karnal,Haryana
Panipat Mandi,132103,Karnal,Karnal,Haryana
Panipat Model Town,132103,Karnal,Karnal,Haryana
Panipat N F L,132103,Karnal,Karnal,Haryana
Panipat N S M,132103,Karnal,Karnal,Haryana
Panipat Sugar Mill,132103,Karnal,Karnal,Haryana
Panipat Town,132103,Karnal,Karnal,Haryana
Panipat G T Road,132104,Karnal,Karnal,Haryana
Panipat Thermal,132104,Karnal,Karnal,Haryana
Project Plan,132105,Karnal,Karnal,Haryana
Project Panipat,132106,Karnal,Karnal,Haryana
Panipat,132108,Karnal,Karnal,Haryana
Chulkana,132109,Panipat,Panipat,Haryana
Sewah,132110,Panipat,Panipat,Haryana
Alewa,132111,Karnal,Karnal,Haryana
Gharaunda,132111,Gharaunda,Karnal,Haryana
Dhatrat,132112,Karnal,Karnal,Haryana
Madlanda,132113,Karnal,Karnal,Haryana
Hathwala,132115,Karnal,Karnal,Haryana
Tarauri,132116,Karnal,Karnal,Haryana
Tarauri Mandi,132116,Karnal,Karnal,Haryana
Nilokheri,132117,Nilokheri,Karnal,Haryana
Engg College Kurukshetra,132118,Kurukshetra,Kurukshetra,Haryana
Kurukshetra,132118,Kurukshetra,Kurukshetra,Haryana
Thanesar Town,132118,Kurukshetra,Kurukshetra,Haryana
Kurukshetra University,132119,Kurukshetra,Kurukshetra,Haryana
Jyotisar,132120,Kaithal,Kaithal,Haryana
Jyotisar,132120,Kurukshetra,Kurukshetra,Haryana
Naguran,132121,Kaithal,Kaithal,Haryana
Naguran,132121,Karnal,Karnal,Haryana
Ghiar,132123,Kaithal,Kaithal,Haryana
Rambha,132123,Kaithal,Kaithal,Haryana
